asin,description,about,overview
B000MQFGO2,"The Motorola Q for Verizon Wireless blends the Motorola Razr's thinness and styling with amazing email and productivity tools. Measuring at less than &"" thick and just over 4.0 oz, this is one of the thinnest and lightest Windows smartphones ever produced. The Motorola Q includes the acclaimed Windows Mobile 5.0 operating system, streaming stereo music Bluetooth, high-speed data downloads and much, much more! The Motorola Q is undisputedly one of the most desirable smartphones ever.","['One Of The Thinnest, Lightest QWERTY Keyboard Phones Ever Produced', 'Windows Mobile 5.0 ""Today"" Screen Gives You Immediate Access To Current Info and Q Functions', 'Bluetooth Wireless Technology Supports Streaming Stereo Music', 'View Word, Excel, PowerPoint and PDF Files', 'Full Featured Email Software Lets You Configure Corporate And Personal Email Accounts']","['Wireless Carrier: Verizon', 'Brand: Motorola', 'Operating System: Rim_blackberry', 'Color: Black', 'Screen Size: 5 Inches', 'Manufacturer: Motorola', 'Connectivity Technology: Bluetooth', 'Item Weight: 0.31 Pounds', 'Human Interface Input: Keyboard']"
B000MXF2IK,"GSM/EDGE coverage (900/1800/1900 MHz)) Dimensions Volume: 56 cc Weight: 91 g Length: 106.4 mm Width: 43.6 mm Thickness: 13.1 mm Display Main display: 2 inch 240 x 320 pixels (TFT) QVGA with up to 16.7 million true colours User Interface New enhanced Series 40 user interface Imaging 2 megapixel camera with 8x digital zoom Full screen viewfinder,Video recorder and player Multimedia Music player supporting MP3, MIDI, AAC, AAC+, eAAC+, WMA FM stereo radio with Visual Radio Streaming video (3GPP) DRM release 2.0 xHTML browser Java: MIDP 2.0 Macromedia Flash Lite 2.0 for richer digital content Messaging Email client with attachments (Java version) MMS: OMA MMS 1.2 for creating, receiving, editing and sending multimedia messages (messages up to 300 KB) Push to talk Instant messaging Nokia Xpress Audio Messaging (AMS) - a fast and simple way to send voice or sound clips via MMS Memory Functions Up to 7.8 MB internal user memory Expandable memory: microSD card up to 2 GB Applications and Games Java MIDP 2.0 games and applications Connectivity Bluetooth version 2.0 with Enhanced Data Rate and stereo support for headsets Local and remote device-to-device data synchronisation with SyncML Full OMA Client provisioning PC synchronisation using Nokia PC Suite with USB and Bluetooth connectivity Data Transfer EDGE (EGPRS): Class 10 GPRS: Class 10 HSCSD (High-Speed Circuit-Switched Data)* / CSD (Circuit-Switched Data) Personal Information Management (PIM) Organiser with calendar, To-do list, and notes Contacts (up to 1000) Alarm clock and countdown timer (normal and interval timer) Voice Features Integrated loudspeaker for integrated handsfree speaker Push to talk (Nokia PoC 1.1) Voice commands and voice recording Digital Services MP3 ringing tones, True tones, and MIDI tones for up to 64-chord/voice polyphonic MIDI ringing tones Video ringing tones",['Nokia 6300 - Silver black (Unlocked) Mobile Phone A++'],"['Model Name: Nokia 6300', 'Wireless Carrier: Unlocked for All Carriers', 'Brand: Nokia', 'Form Factor: Bar', 'Memory Storage Capacity: 7.8 GB', 'Operating System: Ios', 'Color: Silver', 'Cellular Technology: 3g', 'Year: 2007', 'Screen Size: 2 Inches']"
B000X9AHN8,"If you need a simple, no-frills phone that keeps you in touch, the Nokia 1600 deserves a serious look. This compact, lightweight candybar phone features a color screen with 65K colors, 20 polyphonic ringtones, MP3 ringtone capability, icon-based phonebook, and speaking clock with alarm.","['Color screen with 65K colors, 20 polyphonic ringtones, MP3 ringtone capability, icon-based phonebook', 'Pay-as-you-go with all local, long distance and roaming calls at 10 cents per minute', 'Voice mail, call waiting, and text messaging (5 cents per message)', 'Up to 5.5 hours of talk time, up to 18 days of standby time', 'Includes: Battery, Charger, Manual and SIM Card']","['Wireless Carrier: Net10', 'Brand: Nokia', 'Form Factor: Bar', 'Color: Silver', 'Included Components: Adapter', 'Manufacturer: Nokia', 'Item Weight: 85.41 Grams', 'Shooting Modes: Manual']"
B0018BGEAA,"Nokia 6300 Phone Black. Works with AT&T and T Mobile service only. Integrated handsfree speakerphone. Voice commands. Voice dialing. Voice recording3. Phone book with up to 1000 contacts. Main display: 2-inch TFT 320 x 240 pixels, up to 16 million colors. Missed call alert.Music player supporting MP3, eAAC+, WMA formats. FM stereo radio (requires headset, stereo headset may be sold separately). Advanced Audio Distribution Profile (A2DP) for stereo audio streaming over Bluetooth technolog. DRM release 2.0. 2 megapixel camera (1600 x 1200). 8x digital zoom. Full-screen viewfinder. Video player and recorder.Up to 7.8 MB free internal user memory. Expandable memory: microSD card up to 2GB Nokia recommends the use of approved microSD cards. While Nokia adheres to approved industry standards for memory cards, other brands may not function correctly or be fully compatible with this device.","['This unlocked cell phone is compatible with GSM carriers like AT&T and T-Mobile. Not all carrier features may be supported. It will not work with CDMA carriers like Verizon Wireless, Alltel and Sprint.', 'U.S. version tri-band GSM cell phone compatible with 900/1800/1900 frequencies and EDGE data capabilities', 'Candybar phone with compact modern design; 2-megapixel camera /camcorder with 8x digital zoom; digital media player; FM radio', 'Bluetooth for handsfree devices; MicroSD memory expansion to 2 GB; organizer; access to email', 'Up to 3.5 hours of talk time, up to 336 hours (14 days) of standby time']","['Wireless Carrier: T-Mobile, Unlocked, Alltel Cellular, Verizon Wireless, Sprint', 'Brand: Nokia', 'Form Factor: Bar', 'Memory Storage Capacity: 7.8 MB', 'Operating System: Symbian Series40', 'Color: Black', 'Cellular Technology: 2G', 'Year: 2008', 'Screen Size: 2 Inches', 'Manufacturer: Nokia']"
B001A5B4GS,"This update to the original Q sports a refined design, improved keyboard, and version 6 of Windows Mobile. Other features remain the same, including EVDO high-speed data, stereo Bluetooth, megapixel camera, miniSD memory card slot, and speakerphone.","['Sleek, ultra-thin PDA packed with productivity features powered by Windows Mobile 6', 'Fast data connectivity via EV-DO; turn-by-turn directions via VZ Navigator; Broadband Access service for using phone as modem', 'Full QWERTY keyboard; GPS enabled; 1.3-megapixel camera; Bluetooth for headsets and stereo music', 'Up to 4.5 hours of talk time, up to 212 hours (8.8 days) of standby time; measures 4.6 x 2.5 x 0.47 inches (HxWxD)', 'Includes: handset, rechargeable battery, travel charger, data cable, VZ Access Manager CD, ActiveSync CD, quick-start guide, user manual']","['Wireless Carrier: Verizon', 'Brand: Motorola', 'Operating System: Windows_mobile', 'Color: Black', 'Included Components: Adapter', 'Manufacturer: Motorola', 'Connectivity Technology: Bluetooth', 'Item Weight: 135.52 Grams', 'Shooting Modes: Sports', 'Human Interface Input: Keyboard']"
B001T9CSYW,Weight: 2.97 oz (84 g),"['Nationwide boost walkie-talkie', 'Multi-media & text messaging', 'Wireless web, 600 entry phonebook', 'Ringtones (music & more)', 'GPS enabled, hands-free speakerphone']","['Brand: Motorola', 'Form Factor: Bar', 'Color: Black', 'Screen Size: 2 Inches', 'Display Type: LCD', 'Manufacturer: Motorola', 'Item Weight: 1 Pounds']"
B001UHOV5M,"With a sleek aluminium finish, the Nokia 5310 XpressMusic phone for T-Mobile blends an array of music playback features with a crisp 2-megapixel camera with video capture. The 5310 has a dedicated audio chip that helps it produce crystal-clear sound from a wide variety of digital audio file formats stored on optional MicroSD memory cards, and it provides up to 20 hours of music playback. It also includes an FM radio. It features dedicated music playback controls along the side of the phone, next to the brightly colorful 2-inch LCD screen.","['Dedicated music playback controls, stereo music Bluetooth streaming, FM stereo, MicroSD expansion (up to 4 GB)', ""Compatible with T-Mobile's MyFaves service--unlimited calling to your five most called contacts"", 'Email with support for viewing attachments, 2-megapixel camera with video capture', 'Up to 3 hours of talk time, up to 300 hours (12.5 days) of standby time', 'Includes: handset, rechargeable battery, charger, 1 GB MicroSD memory card, wired stereo headset, USB cable, user manual']","['Wireless Carrier: VoiceStream Wireless Provider Type', 'Brand: Nokia', 'Memory Storage Capacity: 4 GB', 'Color: Silver', 'Included Components: Adapter, USB Cable', 'Screen Size: 2 Inches', 'Manufacturer: Nokia', 'Connectivity Technology: Bluetooth, USB', 'Item Weight: 108.19 Grams', 'Phone Talk Time: 3 Hours']"
B002UBWI0C,"The Nokia 1661 weighs 2.9 ounces and measures 4.25 x 1.8 x 0.53 inches. Its 860 mAh lithium-ion battery is rated at up to 4.2 hours of talk time, and up to 480 hours (20 days) of standby time. It runs on the 850/1900 MHz GSM/GPRS frequencies.","['Easy-to-use candybar-style phone for voice communication and text messaging', 'Speakerphone, calendar, stopwatch, FM radio', 'Up to 4.2 hours of talk time, up to 480 hours (20 days) of standby time', ""What's in the Box: handset, battery, charger, user guide"", 'Voice/SMS Device', '5 hours of talk time', '128 X 160, 65K Display', 'Polyphonic Ring Tones', 'Integrated Hands-free speaker']","['Model Name: Nokia 1661', 'Wireless Carrier: Unlocked', 'Brand: Nokia', 'Form Factor: Bar', 'Memory Storage Capacity: 4 GB', 'Operating System: Nokia symbian', 'Color: Black', 'Cellular Technology: 2G', 'Year: 2011', 'Included Components: Adapter']"
B002WTC1NG,"The Motorola Barrage V860 is a durable CDMA phone with push-to-talk. This device meets military specifications for resistance to temperature, dust, radiation, blowing rain, shock and is waterproof when submerged up to 1 meter of water for 30 seconds. Other key features include GPS, Bluetooth compatibility, music player, voice dialing, email, MMS and SMS text messaging, and speakerphone. The Barrage is a 3G enabled device and supports multiple languages including Spanish.","['Rugged clamshell phone constructed from chrome, glass, mesh and rubber; meets military specifications for shock and dust resistance, vibration, and more', 'Talk instantly to friends and colleagues using Verizon Wireless Push to Talk network; GPS-enabled for turn-by-turn directions; access V Cast Music (with Rhapsody) and Video services', '2-megapixel camera/camcorder; Bluetooth stereo music; microSD memory expansion to 16 GB; access to personal email and instant messaging services', 'Up to 6.4 hours of talk time, up to 534 hours (22+ days) of standby time', ""What's in the Box: handset, rechargeable battery, wall/USB charger, quick start guide, user manual""]","['Model Name: Barrage V860', 'Wireless Carrier: Verizon', 'Brand: Motorola', 'Form Factor: Flip', 'Memory Storage Capacity: 16 GB', 'Color: Black', 'Cellular Technology: 3G', 'Included Components: Video recorder, Camera', 'Screen Size: 2 Inches', 'Manufacturer: Motorola']"
B0031OYCJM,"This ruggedized clamshell phone supports PTT plus a full range of 3G services. Key features include GPS navigation, video sharing, 1.3 megapixel camera, music player, stereo Bluetooth, memory card slot, and HSDPA data","['PTT plus a full range of 3G services', 'It has music player, GPS navigation, stereo Bluetooth and 1.3 megapixel camera']","['Wireless Carrier: AT&T', 'Brand: Samsung Electronics', 'Form Factor: Flip', 'Color: Black', 'Cellular Technology: 3G', 'Screen Size: 2 Inches', 'Manufacturer: Samsung', 'Connectivity Technology: Bluetooth', 'Item Weight: 0.31 Pounds']"
